,rates,start_at,base,end_at
2017-01-24,{'MXN': 21.2928917008},2013-08-31,USD,2018-09-01
2017-01-25,{'MXN': 21.4720282975},2013-08-31,USD,2018-09-01
2017-01-26,{'MXN': 21.0056074766},2013-08-31,USD,2018-09-01
2017-01-27,{'MXN': 21.1077614456},2013-08-31,USD,2018-09-01
2017-01-30,{'MXN': 20.7761053622},2013-08-31,USD,2018-09-01
2017-01-31,{'MXN': 20.7210599721},2013-08-31,USD,2018-09-01
2017-02-01,{'MXN': 20.7048192771},2013-08-31,USD,2018-09-01
2017-02-02,{'MXN': 20.5979829756},2013-08-31,USD,2018-09-01
2017-02-03,{'MXN': 20.4968811098},2013-08-31,USD,2018-09-01
2017-02-06,{'MXN': 20.3712658701},2013-08-31,USD,2018-09-01
2017-02-07,{'MXN': 20.6401873536},2013-08-31,USD,2018-09-01
2017-02-08,{'MXN': 20.5440225035},2013-08-31,USD,2018-09-01
2017-02-09,{'MXN': 20.4432285821},2013-08-31,USD,2018-09-01
2017-02-10,{'MXN': 20.2765076677},2013-08-31,USD,2018-09-01
2017-02-13,{'MXN': 20.3463166808},2013-08-31,USD,2018-09-01
2017-02-14,{'MXN': 20.2373152593},2013-08-31,USD,2018-09-01
2017-02-15,{'MXN': 20.3483657035},2013-08-31,USD,2018-09-01
2017-02-16,{'MXN': 20.2755351108},2013-08-31,USD,2018-09-01
2017-02-17,{'MXN': 20.4741784038},2013-08-31,USD,2018-09-01
2017-02-20,{'MXN': 20.4665599096},2013-08-31,USD,2018-09-01
2017-02-21,{'MXN': 20.4305779634},2013-08-31,USD,2018-09-01
2017-02-22,{'MXN': 20.0309141063},2013-08-31,USD,2018-09-01
2017-02-23,{'MXN': 19.8760994987},2013-08-31,USD,2018-09-01
